Time,agent_x,agent_y,agent_theta,1_x,1_y,1_theta
1504505444.28,64.1879840784,1.99783331322,-3.06572678855e-05,123.1340209211549,5.90825509688981,-0.0009262669799239489
1504505444.35,64.7042257054,1.99780158587,-3.06785272406e-05,123.4561324886063,5.9076579835015535,-0.0009263896801524387
1504505444.42,65.2083887875,1.99777034639,-3.07839156725e-05,123.75726274493573,5.907099759048993,-0.0009264791149542428
1504505444.49,65.7846495993,1.99773461534,-3.08729765478e-05,124.05137291057301,5.9065550591890785,-0.0009263932398955137
1504505444.56,66.3968620522,1.99769626512,-3.10291763907e-05,124.59759489407419,5.905542767809833,-0.0009264914777782388
1504505444.64,67.2732260711,1.99764184054,-3.10708264886e-05,124.89870330703923,5.904984617891723,-0.0009265591033717639
1504505444.7,67.525312336,1.99762571083,-3.11958865439e-05,125.19282910240405,5.9044398711846915,-0.0009264758195501982
1504505444.78,68.1495806922,1.99758673034,-3.12166827423e-05,125.47293216717878,5.9039208285237885,-0.0009264697081650127
1504505444.85,69.0980506222,1.99752654606,-3.15803803185e-05,125.76004872974234,5.903388398118699,-0.000926615053532248
1504505444.91,69.3499708859,1.99751033825,-3.15151426464e-05,126.32026620600351,5.902350284396222,-0.0009265659065003925
1504505444.99,70.19049028,1.997456295,-3.18823268969e-05,126.57237168373531,5.901883113829917,-0.0009265529773045683
1504505445.06,70.802524174,1.99741677432,-3.19882256221e-05,126.88749037078188,5.901298783477144,-0.000926698798364165
1504505445.12,71.2348837829,1.99738876186,-3.21759050523e-05,127.45471664883577,5.900247619754547,-0.0009266569006883469
1504505445.2,71.7525549006,1.99735277433,-3.27124652535e-05,127.72081992238144,5.899754392260214,-0.0009266613653625355
1504505445.28,72.4002347211,1.99731472401,-3.17770282966e-05,128.00093391609974,5.899234846003436,-0.0009268043667456216
1504505445.35,72.9170026771,1.99728075014,-3.23385750902e-05,128.3160542770932,5.898650586828753,-0.0009268358724989643
1504505445.42,73.5888308301,1.99723632827,-3.2380621045e-05,128.6171861632475,5.898092827625025,-0.0009267056474322631
1504505445.49,74.1054130971,1.99720314988,-3.24832927319e-05,129.2332844924962,5.896950577480161,-0.0009266544935020472
1504505445.56,75.0176974941,1.99714448625,-3.22357098507e-05,129.2332844924962,5.896950577480161,-0.0009266544935020472
1504505445.63,75.3778026468,1.99712094062,-3.23824544653e-05,129.842520715473,5.895821951774028,-0.0009266213321794873
1504505445.7,76.2421860679,1.99706581877,-3.21216531497e-05,130.1228698047659,5.895302215956586,-0.0009267983450427971
1504505445.77,76.5062644872,1.99704865837,-3.22408783148e-05,130.4028379701468,5.894782892653153,-0.0009268699071776073
1504505445.83,77.1663569528,1.99700685736,-3.19699778746e-05,131.02614510442737,5.893627847155187,-0.0009267246332585088
1504505445.91,77.1663569528,1.99700685736,-3.19699778746e-05,131.02614510442737,5.893627847155187,-0.0009267246332585088
1504505445.98,78.655108996,1.99691100034,-3.20810251477e-05,131.59658327714817,5.8926190034878205,-0.0009207701492548429
1504505446.05,78.919151358,1.99689403676,-3.2170840218e-05,131.89821276996577,5.89199814439366,-0.0009188789100935955
1504505446.12,79.4952865728,1.99685752626,-3.19587733648e-05,132.19281407330146,5.8914317157709295,-0.0009216039704789806
1504505446.18,80.3116011082,1.99680450701,-3.2104956182e-05,132.5775372234985,5.890736265792542,-0.0009210872455633194
1504505446.26,80.9359635777,1.99676430011,-3.21893883538e-05,133.15182564736253,5.889690306644088,-0.0009210455176892954
1504505446.32,81.5600901189,1.99672421002,-3.21358031753e-05,133.15182564736253,5.889690306644088,-0.0009210455176892954
1504505446.4,82.2324771191,1.99668038644,-3.23859347517e-05,133.76816952562265,5.888558052629849,-0.0009210285909090344
1504505446.47,82.8686163631,1.99663956932,-3.22386771682e-05,134.0552848297733,5.88802619287875,-0.0009207282169949637
1504505446.55,83.2408473042,1.99661491882,-3.24452673638e-05,134.3635082427417,5.8874573823930305,-0.0009206990338574083
1504505446.61,83.8650287411,1.99657459324,-3.23821882502e-05,134.65746020962018,5.886915729877213,-0.0009207712583153595
1504505446.68,84.2131833005,1.99655160397,-3.2499991817e-05,134.93777123865004,5.88640053755874,-0.0009209632290030747
1504505446.75,85.2695880581,1.99648260836,-3.25815846815e-05,135.5049298791095,5.8853564606111695,-0.0009208039893615973
1504505446.82,85.5217285847,1.99646582948,-3.27301524112e-05,135.7920088153374,5.884827016011126,-0.0009209135723359887
1504505446.89,86.458065132,1.99640432224,-3.27788920999e-05,136.07207131621675,5.88431106923415,-0.0009209430426166143
1504505446.96,86.8182538973,1.99638054291,-3.29027696532e-05,136.3592899337568,5.883782493668364,-0.0009209216074228366
1504505447.03,87.3224199923,1.99634765648,-3.27878505176e-05,136.95451528206928,5.8826857830920005,-0.0009210597142342359
1504505447.11,87.970704479,1.99630451573,-3.30093989751e-05,137.2555445729767,5.88213099907149,-0.0009210752892377303
1504505447.18,88.6069266074,1.99626253703,-3.29761919299e-05,137.54270803074843,5.881602395688349,-0.0009209571180905436
1504505447.26,89.1472397533,1.99622603989,-3.32912283433e-05,137.8578181112838,5.881021865991812,-0.0009209936730760897
1504505447.34,90.0836597234,1.99616331163,-3.34552274202e-05,138.14491383590192,5.880492724881683,-0.0009211248288421302
1504505447.42,90.347681196,1.99614552361,-3.34698584701e-05,138.71912530771218,5.879435110483264,-0.0009210451795027334
1504505447.49,90.9958753148,1.99610169104,-3.35770114554e-05,138.71912530771218,5.879435110483264,-0.0009210451795027334
1504505447.56,91.7295052661,1.99604954232,-3.40721442818e-05,139.31437327101526,5.8783378999761196,-0.000921255124644204
1504505447.64,92.1030129594,1.99602542524,-3.41251980118e-05,139.57349676582243,5.877860585772199,-0.0009212110424463904
1504505447.71,92.9082272581,1.99597172971,-3.38329942689e-05,139.85361859239336,5.877344729383716,-0.0009211374256769501
1504505447.8,93.4241780346,1.99593616266,-3.39199474596e-05,140.1407005258756,5.876815628599456,-0.0009211952469860647
1504505447.88,93.9406024584,1.99590156021,-3.37590070843e-05,140.73593682046416,5.875718659028572,-0.0009212915528335714
1504505447.95,94.5766585068,1.99585826582,-3.38795411551e-05,141.0230791122808,5.875189773390146,-0.0009212301380064349
1504505448.02,95.3451344648,1.99580657294,-3.38123282062e-05,141.33818441169757,5.874608847144815,-0.0009213435427183122
1504505448.09,95.8851981759,1.99576993474,-3.38005561155e-05,141.62530484909558,5.874079463176186,-0.0009214390485996175
1504505448.16,96.1734168716,1.99575077984,-3.36981451072e-05,142.1855150849477,5.873047457000475,-0.0009213145325211519
1504505448.23,97.181754563,1.99568255683,-3.37175671366e-05,142.4866557984508,5.872492219724358,-0.0009214482061710394
1504505448.3,97.7100428996,1.99564650864,-3.38598912467e-05,142.77374925530756,5.871962901488238,-0.0009215227634374833
